Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Honduras,HND,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.96424,..,..,..,5.5935,5.52778,..,6.18991,6.31501,6.55213,..,6.30925,..,..,..,..,..,..
Honduras,HND,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,80.01103,..,..,..,..,..,83.58899,..,..,84.75536,85.1233,85.35555,85.46442,87.19753,87.90683,88.98748,..,87.20524,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,7.63317,..,..,..,..,9.22988,..,..,..,..,..,..,..,..,..,10.517,..,10.76397,10.87305,10.99712,11.20738,..,..,11.51574,11.6571,..,11.90943,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,9.36903,..,..,..,..,10.62854,..,..,..,..,..,..,..,..,..,11.61399,..,11.80772,11.89872,11.96465,12.18772,..,..,12.42574,12.57577,..,12.74265,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,8.51015,..,..,..,..,9.92045,..,..,..,..,..,..,..,..,..,11.02958,..,11.246,11.34655,11.43829,11.65258,..,..,11.92339,12.0676,..,12.27996,..,..,..,..,..,..,..
"Hong Kong SAR, China",HKG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,9.68528,..,..,..,..,..,..,..,..,..,..,9.82955,..,..,..,10.47987,..,..,..,11.9178,12.00271,11.87735,11.78584,11.9483,11.60784,11.69665,11.74955,..,..,..,..,..,..,..,..
Hungary,HUN,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,10.40225,..,..,..,..,..,..,..,..,..,..,10.78919,..,..,..,11.32347,..,..,..,12.24005,12.30203,12.08757,11.97776,12.20229,12.10653,12.16642,12.21046,..,..,..,..,..,..,..,..
Hungary,HUN,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,10.01793,..,..,..,..,..,..,..,..,..,..,10.2704,..,..,..,10.86768,..,..,..,12.07061,12.14479,11.97732,11.87719,12.06936,11.83846,11.91417,11.96329,..,..,..,..,..,..,..,..
Hungary,HUN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.1,..,..,..,..,..,..,..,..,..,..
