"","code","year","speed","SL.TLF.ACTI.FE.ZS_fut","EG.ELC.ACCS.ZS_fut","IT.NET.USER.ZS_fut","SI.SPR.PGAP_fut","IQ.SPI.OVRL_fut","wat_sm_t_fut","wat_imp_prem_t_fut","wat_imp_qual_t_fut","wat_imp_av_t_fut","electricity_fut","ghggdp_fut","lifeexpectancy_fut","gender_fut","education_fut"
"2391","ISL",2029,0.25,NA,NA,98.428581871345,0.575,83.0389693894567,NA,NA,NA,NA,NA,NA,83.1576923076923,88.94,13.96
"2392","ISL",2029,0.5,NA,NA,98.6286850705194,0.55,84.4811026289854,NA,NA,NA,NA,NA,NA,83.3076923076923,89.175,14.02
"2393","ISL",2029,1,NA,NA,98.9426847898404,0.5,87.0731466070465,NA,NA,NA,NA,NA,NA,83.5903846153846,89.6233333333333,14.1
"2394","ISL",2029,2,NA,NA,99.3782489066661,0.5,90.2,NA,NA,NA,NA,NA,NA,84.0803146853147,90.4279120879121,14.1
"2395","ISL",2029,4,NA,NA,99.7,0.5,90.2,NA,NA,NA,NA,NA,NA,84.7545399045399,91.7386613386613,14.1
"2396","ISL",2030,0.25,NA,NA,98.471081871345,0.5725,83.3353225878647,NA,NA,NA,NA,NA,NA,83.1876923076923,88.98,13.97
"2397","ISL",2030,0.5,NA,NA,98.6986850705194,0.545,85.0299514638174,NA,NA,NA,NA,NA,NA,83.3676923076923,89.25,14.04
"2398","ISL",2030,1,NA,NA,99.0478952634912,0.5,88.0046201750351,NA,NA,NA,NA,NA,NA,83.7003496503497,89.7633333333333,14.1
"2399","ISL",2030,2,NA,NA,99.5011301714282,0.5,90.2,NA,NA,NA,NA,NA,NA,84.242501942502,90.6679120879121,14.1
"2400","ISL",2030,4,NA,NA,99.7,0.5,90.2,NA,NA,NA,NA,NA,NA,84.9436319236319,92.0986613386613,14.1
"2401","ISR",2025,0.25,72.7,NA,88.4900714706749,1.185,NA,99.5025,NA,99.5025,NA,7.325,NA,82.735,87.89,13.52
"2402","ISR",2025,0.5,72.7,NA,88.7729698175049,1.17,NA,99.505,NA,99.505,NA,7.35,NA,82.77,87.98,13.54
"2403","ISR",2025,1,72.7,NA,89.3191941126485,1.14,NA,99.51,NA,99.51,NA,7.4,NA,82.8371428571429,88.16,13.58
"2404","ISR",2025,2,72.7,NA,90.3407302723752,1.08,NA,99.52,NA,99.52,NA,7.5,NA,82.9671428571429,88.5022222222222,13.66
"2405","ISR",2025,4,72.7,NA,92.1226786939308,0.96,NA,99.54,NA,99.54,NA,7.7,NA,83.2173626373626,89.1504901960785,13.82
"2406","ISR",2026,0.25,72.7175,NA,88.7729698175049,1.18,NA,99.505,NA,99.505,NA,7.3375,NA,82.77,87.935,13.53
"2407","ISR",2026,0.5,72.735,NA,89.3191941126486,1.16,NA,99.51,NA,99.51,NA,7.375,NA,82.8371428571429,88.07,13.56
"2408","ISR",2026,1,72.77,NA,90.3407302723751,1.12,NA,99.52,NA,99.52,NA,7.45,NA,82.9671428571429,88.3322222222222,13.62
"2409","ISR",2026,2,72.84,NA,92.1226786939305,1.04,NA,99.54,NA,99.54,NA,7.6,NA,83.2173626373627,88.8338562091503,13.74
