"","time","SL.TLF.ACTI.FE.ZS","EG.ELC.ACCS.ZS","IT.NET.USER.ZS","SI.SPR.PGAP","IQ.SPI.OVRL","wat_sm_t","wat_imp_prem_t","wat_imp_qual_t","wat_imp_av_t"
"292",384.176691729323,34.5,NA,NA,NA,NA,NA,NA,NA,NA
"293",384.652882205514,34.6,NA,NA,NA,NA,NA,NA,NA,NA
"294",385.129072681704,34.7,NA,NA,NA,NA,NA,NA,NA,NA
"295",385.605263157895,34.8,NA,NA,NA,NA,NA,NA,NA,NA
"296",386.081453634085,34.9,NA,NA,NA,NA,NA,NA,NA,NA
"297",386.557644110276,35,NA,NA,NA,NA,NA,NA,NA,NA
"298",387.033834586466,35.1,NA,NA,NA,NA,NA,NA,NA,NA
"299",387.510025062657,35.2,NA,NA,NA,NA,NA,NA,NA,NA
"300",387.986215538847,35.3,NA,NA,NA,NA,NA,NA,NA,NA
"301",388.462406015038,35.4,NA,NA,NA,NA,NA,NA,NA,NA
"302",388.938596491228,35.5,NA,NA,NA,NA,NA,NA,NA,NA
"303",389.414786967419,35.6,NA,NA,NA,NA,NA,NA,NA,NA
"304",389.890977443609,35.7,NA,NA,NA,NA,NA,NA,NA,NA
"305",390.367167919799,35.8,NA,NA,NA,NA,NA,NA,NA,NA
"306",390.84335839599,35.9,NA,NA,NA,NA,NA,NA,NA,NA
"307",391.31954887218,36,NA,NA,NA,NA,NA,NA,NA,NA
"308",391.795739348371,36.1,NA,NA,NA,NA,NA,NA,NA,NA
"309",392.250284802916,36.2,NA,NA,NA,NA,NA,NA,NA,NA
"310",392.704830257462,36.3,NA,NA,NA,NA,NA,NA,NA,NA
"311",393.159375712007,36.4,NA,NA,NA,NA,NA,NA,NA,NA
"312",393.613921166553,36.5,NA,NA,NA,NA,NA,NA,NA,NA
"313",394.068466621098,36.6,NA,NA,NA,NA,NA,NA,NA,NA
"314",394.523012075644,36.7,NA,NA,NA,NA,NA,NA,NA,NA
"315",394.977557530189,36.8,NA,NA,NA,NA,NA,NA,NA,NA
"316",395.432102984735,36.9,NA,NA,NA,NA,NA,NA,NA,NA
"317",395.88664843928,37,NA,NA,NA,NA,NA,NA,NA,NA
"318",396.341193893826,37.1,NA,NA,NA,NA,NA,NA,NA,NA
"319",396.795739348371,37.2,NA,NA,NA,NA,NA,NA,NA,NA
"320",397.250284802916,37.3,NA,NA,NA,NA,NA,NA,NA,NA
"321",397.704830257462,37.4,NA,NA,NA,NA,NA,NA,NA,NA
"322",398.159375712007,37.5,NA,NA,NA,NA,NA,NA,NA,NA
"323",398.613921166553,37.6,NA,NA,NA,NA,NA,NA,NA,NA
"324",399.068466621098,37.7,NA,NA,NA,NA,NA,NA,NA,NA
"325",399.523012075644,37.8,NA,NA,NA,NA,NA,NA,NA,NA
"326",399.977557530189,37.9,NA,NA,NA,NA,NA,NA,NA,NA
"327",400.432102984735,38,NA,NA,NA,NA,NA,NA,NA,NA
"328",400.88664843928,38.1,NA,NA,NA,NA,NA,NA,NA,NA
"329",401.341193893826,38.2,NA,NA,NA,NA,NA,NA,NA,NA
"330",401.795739348371,38.3,NA,NA,NA,NA,NA,NA,NA,NA
"331",402.250284802916,38.4,NA,NA,NA,NA,NA,NA,NA,NA
"332",402.704830257462,38.5,NA,NA,NA,NA,NA,NA,NA,NA
"333",403.159375712007,38.6,NA,NA,NA,NA,NA,NA,NA,NA
"334",403.613921166553,38.7,NA,NA,NA,NA,NA,NA,NA,NA
"335",404.068466621098,38.8,NA,NA,NA,NA,NA,NA,NA,NA
"336",404.523012075644,38.9,NA,NA,NA,NA,NA,NA,NA,NA
"337",404.977557530189,39,NA,NA,NA,NA,NA,NA,NA,NA
"338",405.432102984735,39.1,NA,NA,NA,NA,NA,NA,NA,NA
"339",405.88664843928,39.2,NA,NA,NA,NA,NA,NA,NA,NA
"340",406.341193893826,39.3,NA,NA,NA,NA,NA,NA,NA,NA
"341",406.795739348371,39.4,NA,NA,NA,NA,NA,NA,NA,NA
"342",407.250284802916,39.5,NA,NA,NA,NA,NA,NA,NA,NA
"343",407.704830257462,39.6,NA,NA,NA,NA,NA,NA,NA,NA
"344",408.159375712007,39.7,NA,NA,NA,NA,NA,NA,NA,NA
"345",408.613921166553,39.8,NA,NA,NA,NA,NA,NA,NA,NA
"346",409.068466621098,39.9,NA,NA,NA,NA,NA,NA,NA,NA
"347",409.523012075644,40,NA,NA,NA,NA,NA,NA,NA,NA
"348",409.977557530189,40.1,NA,NA,NA,NA,NA,NA,NA,NA
"349",410.432102984735,40.2,NA,NA,NA,NA,NA,NA,NA,NA
"350",410.88664843928,40.3,NA,NA,NA,NA,NA,NA,NA,NA
"351",411.341193893826,40.4,NA,NA,NA,NA,NA,NA,NA,NA
"352",411.795739348371,40.5,NA,NA,NA,NA,NA,NA,NA,NA
"353",412.250284802916,40.6,NA,NA,NA,NA,NA,NA,NA,NA
"354",412.704830257462,40.7,NA,NA,NA,NA,NA,NA,NA,NA
"355",413.159375712007,40.8,NA,NA,NA,NA,NA,NA,NA,NA
"356",413.613921166553,40.9,NA,NA,NA,NA,NA,NA,NA,NA
"357",414.068466621098,41,NA,NA,NA,NA,NA,NA,NA,NA
"358",414.523012075644,41.1,NA,NA,NA,NA,NA,NA,NA,NA
"359",414.977557530189,41.2,NA,NA,NA,NA,NA,NA,NA,NA
"360",415.432102984735,41.3,NA,NA,NA,NA,NA,NA,NA,NA
"361",415.88664843928,41.4,NA,NA,NA,NA,NA,NA,NA,NA
"362",416.341193893826,41.5,NA,NA,NA,NA,NA,NA,NA,NA
